timestamp,clearing_price,moving_average,cumulative_quantity,clearing_rate,transactions,period,group,block,format,ce_price,ce_quantity,treat,block_1,block_2,block_3,block_4,block_5,group_id,format_num,log_price,change_log_price,price_change,price_deviation
0,14.0,,0.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.6390573296152584,,,0.0
1,14.0,,0.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.6390573296152584,0.0,0.0,0.0
2,14.0,,0.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.6390573296152584,0.0,0.0,0.0
3,14.0,,0.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.6390573296152584,0.0,0.0,0.0
4,14.0,14.0,0.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.6390573296152584,0.0,0.0,0.0
5,14.0,14.0,0.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.6390573296152584,0.0,0.0,0.0
6,14.0,14.0,0.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.6390573296152584,0.0,0.0,0.0
7,14.0,14.0,0.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.6390573296152584,0.0,0.0,0.0
8,14.0,14.0,0.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.6390573296152584,0.0,0.0,0.0
9,14.0,14.0,0.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.6390573296152584,0.0,0.0,0.0
10,14.0,14.0,200.0,200.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.6390573296152584,0.0,0.0,0.0
11,3.0,11.8,200.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,1.0986122886681098,-1.5404450409471486,-11.0,-11.0
12,3.0,9.6,200.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,1.0986122886681098,0.0,0.0,-11.0
13,3.0,7.4,200.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,1.0986122886681098,0.0,0.0,-11.0
14,3.0,5.2,200.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,1.0986122886681098,0.0,0.0,-11.0
15,3.0,3.0,200.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,1.0986122886681098,0.0,0.0,-11.0
16,3.0,3.0,200.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,1.0986122886681098,0.0,0.0,-11.0
17,3.0,3.0,400.0,200.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,1.0986122886681098,0.0,0.0,-11.0
18,9.0,4.2,400.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.1972245773362196,1.0986122886681098,6.0,-5.0
19,9.0,5.4,400.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.1972245773362196,0.0,0.0,-5.0
20,9.0,6.6,400.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.1972245773362196,0.0,0.0,-5.0
21,9.0,7.8,400.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.1972245773362196,0.0,0.0,-5.0
22,9.0,9.0,400.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.1972245773362196,0.0,0.0,-5.0
23,9.0,9.0,400.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.1972245773362196,0.0,0.0,-5.0
24,9.0,9.0,400.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.1972245773362196,0.0,0.0,-5.0
25,9.0,9.0,400.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.1972245773362196,0.0,0.0,-5.0
26,9.0,9.0,400.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.1972245773362196,0.0,0.0,-5.0
27,9.0,9.0,400.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.1972245773362196,0.0,0.0,-5.0
28,9.0,9.0,400.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.1972245773362196,0.0,0.0,-5.0
29,9.0,9.0,400.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.1972245773362196,0.0,0.0,-5.0
30,9.0,9.0,400.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.1972245773362196,0.0,0.0,-5.0
31,9.0,9.0,400.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.1972245773362196,0.0,0.0,-5.0
32,9.0,9.0,400.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.1972245773362196,0.0,0.0,-5.0
33,9.0,9.0,400.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.1972245773362196,0.0,0.0,-5.0
34,9.0,9.0,517.0,117.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.1972245773362196,0.0,0.0,-5.0
35,9.0,9.0,517.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.1972245773362196,0.0,0.0,-5.0
36,9.0,9.0,517.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.1972245773362196,0.0,0.0,-5.0
37,9.0,9.0,517.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.1972245773362196,0.0,0.0,-5.0
38,9.0,9.0,517.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.1972245773362196,0.0,0.0,-5.0
39,9.0,9.0,517.0,0.0,5.0,1,CDA1,1,CDA,14,1100,,True,False,False,False,False,1,0,2.1972245773362196,0.0,0.0,-5.0
