interval,quantity,weighted_price,price_change_int,period,group,block,format,price_change,ce_price,ce_quantity,cum_volume,%cumsum,price_deviation,block_1,block_2,block_3,block_4,block_5,group_id,format_num,price_deviation_log,price_change_log,log_wprice,change_log_wprice,ppi
1,0.0,14.0,0.0,1,CDA1,1,CDA,,14,1100,0.0,0.0,0.0,True,False,False,False,False,1,0,-6.907755278982137,,2.6390573296152584,,20.0
2,0.0,14.0,0.0,1,CDA1,1,CDA,0.0,14,1100,0.0,0.0,0.0,True,False,False,False,False,1,0,-6.907755278982137,-6.907755278982137,2.6390573296152584,0.0,2.0
3,200.0,14.0,-2.857142857142857,1,CDA1,1,CDA,0.0,14,1100,200.0,0.18181818181818182,0.0,True,False,False,False,False,1,0,-6.907755278982137,-6.907755278982137,2.6390573296152584,0.0,12.0
4,200.0,3.0,1.5584415584415585,1,CDA1,1,CDA,-11.0,14,1100,400.0,0.36363636363636365,11.0,True,False,False,False,False,1,0,2.3978952727983707,2.3978952727983707,1.0986122886681098,-1.5404450409471486,12.0
5,0.0,3.0,0.0,1,CDA1,1,CDA,0.0,14,1100,400.0,0.36363636363636365,11.0,True,False,False,False,False,1,0,2.3978952727983707,-6.907755278982137,1.0986122886681098,0.0,13.899999999999999
6,0.0,3.0,0.0,1,CDA1,1,CDA,0.0,14,1100,400.0,0.36363636363636365,11.0,True,False,False,False,False,1,0,2.3978952727983707,-6.907755278982137,1.0986122886681098,0.0,2.0
7,117.0,9.0,0.0,1,CDA1,1,CDA,6.0,14,1100,517.0,0.47,5.0,True,False,False,False,False,1,0,1.6094379124341003,1.791759469228055,2.1972245773362196,1.0986122886681098,5.0
8,0.0,9.0,0.0,1,CDA1,1,CDA,0.0,14,1100,517.0,0.47,5.0,True,False,False,False,False,1,0,1.6094379124341003,-6.907755278982137,2.1972245773362196,0.0,5.0
9,0.0,9.0,0.0,1,CDA1,1,CDA,0.0,14,1100,517.0,0.47,5.0,True,False,False,False,False,1,0,1.6094379124341003,-6.907755278982137,2.1972245773362196,0.0,8.0
10,0.0,9.0,0.0,1,CDA1,1,CDA,0.0,14,1100,517.0,0.47,5.0,True,False,False,False,False,1,0,1.6094379124341003,-6.907755278982137,2.1972245773362196,0.0,13.0
11,0.0,9.0,0.0,1,CDA1,1,CDA,0.0,14,1100,517.0,0.47,5.0,True,False,False,False,False,1,0,1.6094379124341003,-6.907755278982137,2.1972245773362196,0.0,3.0
