period,block,group,interval,ppi,group_id
1,1,CDA1,1,20.0,1
1,1,CDA1,2,2.0,1
1,1,CDA1,3,12.0,1
1,1,CDA1,4,12.0,1
1,1,CDA1,5,13.899999999999999,1
1,1,CDA1,6,2.0,1
1,1,CDA1,7,5.0,1
1,1,CDA1,8,5.0,1
1,1,CDA1,9,8.0,1
1,1,CDA1,10,13.0,1
1,1,CDA1,11,3.0,1
1,1,CDA1,12,6.0,1
1,1,CDA1,13,3.0,1
1,1,CDA1,14,1.0,1
1,1,CDA1,15,1.0,1
1,1,CDA1,16,1.0,1
1,1,CDA1,17,1.0,1
1,1,CDA1,18,3.0,1
1,1,CDA1,19,1.0,1
1,1,CDA1,20,1.0,1
1,1,CDA1,21,1.0,1
1,1,CDA1,22,5.0,1
1,1,CDA1,23,7.0,1
1,1,CDA1,24,2.0,1
2,1,CDA1,1,20.0,1
2,1,CDA1,2,6.0,1
2,1,CDA1,3,14.0,1
2,1,CDA1,4,6.0,1
2,1,CDA1,5,8.0,1
2,1,CDA1,6,4.0,1
2,1,CDA1,7,3.0,1
2,1,CDA1,8,7.0,1
2,1,CDA1,9,5.0,1
2,1,CDA1,10,5.0,1
2,1,CDA1,11,5.0,1
2,1,CDA1,12,5.0,1
2,1,CDA1,13,9.0,1
2,1,CDA1,14,1.0,1
2,1,CDA1,15,1.0,1
2,1,CDA1,16,1.0,1
2,1,CDA1,17,7.0,1
2,1,CDA1,18,2.0,1
2,1,CDA1,19,7.95,1
2,1,CDA1,20,7.9,1
2,1,CDA1,21,2.0,1
2,1,CDA1,22,2.0,1
2,1,CDA1,23,4.0,1
2,1,CDA1,24,1.0,1
3,1,CDA1,1,20.0,1
3,1,CDA1,2,6.0,1
3,1,CDA1,3,5.0,1
3,1,CDA1,4,5.0,1
3,1,CDA1,5,5.0,1
3,1,CDA1,6,4.0,1
3,1,CDA1,7,4.0,1
3,1,CDA1,8,4.0,1
3,1,CDA1,9,4.0,1
3,1,CDA1,10,9.95,1
3,1,CDA1,11,10.0,1
3,1,CDA1,12,2.0,1
3,1,CDA1,13,2.0,1
3,1,CDA1,14,2.0,1
3,1,CDA1,15,8.0,1
3,1,CDA1,16,8.0,1
3,1,CDA1,17,8.0,1
3,1,CDA1,18,4.0,1
3,1,CDA1,19,6.0,1
3,1,CDA1,20,2.3000000000000007,1
3,1,CDA1,21,2.1500000000000004,1
3,1,CDA1,22,4.0,1
3,1,CDA1,23,11.0,1
3,1,CDA1,24,3.0,1
4,1,CDA1,1,20.0,1
4,1,CDA1,2,1.0,1
4,1,CDA1,3,5.0,1
4,1,CDA1,4,3.0,1
4,1,CDA1,5,3.0,1
4,1,CDA1,6,7.0,1
4,1,CDA1,7,1.0,1
4,1,CDA1,8,2.0,1
4,1,CDA1,9,3.0,1
4,1,CDA1,10,3.0,1
4,1,CDA1,11,6.0,1
4,1,CDA1,12,3.0,1
4,1,CDA1,13,2.0,1
4,1,CDA1,14,10.0,1
4,1,CDA1,15,1.0,1
4,1,CDA1,16,6.0,1
4,1,CDA1,17,5.0,1
4,1,CDA1,18,9.0,1
4,1,CDA1,19,7.9,1
4,1,CDA1,20,7.95,1
4,1,CDA1,21,8.95,1
4,1,CDA1,22,8.95,1
4,1,CDA1,23,1.0,1
4,1,CDA1,24,1.0,1
5,2,CDA1,1,20.0,1
5,2,CDA1,2,2.0,1
5,2,CDA1,3,2.0,1
