direction,cumulative_quantity,fill_quantity,ce_quantity,ce_price,cash,in_market_quantity,ce_profit,excess_profit,period,group,block,format,gross_profits_norm,order_num,order_price_low,order_price_high,order_quantity,order_rate,order_price_low_initial,order_price_high_initial,order_quantity_initial,max_quantity/rate_orders_sell,max_quantity/rate_orders_buy,rational_shares,no_trans,order_rate_initial
buy,1540.0,553.0,1100.0,14.0,3806.0,1100,2400.0,1406.0,1,1,1,CDA,1.5858333333333334,9,7.666666666666667,7.666666666666667,115.22222222222223,0.0,8.0,8.0,154.33333333333334,3,2,569.0,,
sell,1540.0,553.0,1100.0,14.0,2325.0,1100,9300.0,-6975.0,1,1,1,CDA,0.25,25,12.28,12.28,96.4,0.0,17.0,17.0,128.0,3,2,569.0,,
buy,2186.0,757.0,1100.0,14.0,4085.0,1100,2400.0,1685.0,2,1,1,CDA,1.7020833333333334,12,7.416666666666667,7.416666666666667,122.66666666666667,0.0,11.5,11.5,164.5,1,2,785.0,,
sell,2186.0,757.0,1100.0,14.0,4322.0,1100,9300.0,-4978.0,2,1,1,CDA,0.4647311827956989,19,11.210526315789474,11.210526315789474,89.42105263157895,0.0,12.0,12.0,162.0,1,2,785.0,,
buy,2322.0,821.0,1100.0,14.0,5593.0,1100,2400.0,3193.0,3,1,1,CDA,2.330416666666667,13,5.615384615384615,5.615384615384615,89.6923076923077,0.0,6.25,6.25,135.5,5,1,1042.0,,
sell,2322.0,821.0,1100.0,14.0,3208.0,1100,9300.0,-6092.0,3,1,1,CDA,0.3449462365591398,25,12.0,12.0,93.16,0.0,10.4,10.4,120.2,5,1,1042.0,,
buy,2332.0,863.0,1100.0,14.0,4887.0,1100,2400.0,2487.0,4,1,1,CDA,2.03625,12,6.5,6.5,87.33333333333333,0.0,8.0,8.0,119.25,2,1,1247.0,,
sell,2332.0,863.0,1100.0,14.0,3950.0,1100,9300.0,-5350.0,4,1,1,CDA,0.42473118279569894,27,10.444444444444445,10.444444444444445,87.55555555555556,0.0,13.333333333333334,13.333333333333334,92.16666666666667,2,1,1247.0,,
buy,2504.0,896.0,1200.0,6.0,4276.0,1200,8800.0,-4524.0,5,1,2,CDA,0.4859090909090909,17,4.352941176470588,4.352941176470588,117.41176470588235,0.0,5.75,5.75,144.5,4,2,1057.0,,
sell,2504.0,896.0,1200.0,6.0,1728.0,1200,1900.0,-172.0,5,1,2,CDA,0.9094736842105263,27,8.518518518518519,8.518518518518519,93.5925925925926,0.0,9.0,9.0,169.25,4,2,1057.0,,
