period,block,group,interval,ppi,group_id
1,1,CDA1,1,2.0,1
1,1,CDA1,2,12.0,1
1,1,CDA1,3,2.0,1
1,1,CDA1,4,5.0,1
1,1,CDA1,5,13.0,1
1,1,CDA1,6,6.0,1
1,1,CDA1,7,1.0,1
1,1,CDA1,8,1.0,1
1,1,CDA1,9,3.0,1
1,1,CDA1,10,1.0,1
1,1,CDA1,11,5.0,1
1,1,CDA1,12,2.0,1
2,1,CDA1,1,6.0,1
2,1,CDA1,2,6.0,1
2,1,CDA1,3,4.0,1
2,1,CDA1,4,7.0,1
2,1,CDA1,5,5.0,1
2,1,CDA1,6,5.0,1
2,1,CDA1,7,1.0,1
2,1,CDA1,8,1.0,1
2,1,CDA1,9,2.0,1
2,1,CDA1,10,7.9,1
2,1,CDA1,11,2.0,1
2,1,CDA1,12,1.0,1
3,1,CDA1,1,6.0,1
3,1,CDA1,2,5.0,1
3,1,CDA1,3,4.0,1
3,1,CDA1,4,4.0,1
3,1,CDA1,5,9.95,1
3,1,CDA1,6,2.0,1
3,1,CDA1,7,2.0,1
3,1,CDA1,8,8.0,1
3,1,CDA1,9,4.0,1
3,1,CDA1,10,2.3000000000000007,1
3,1,CDA1,11,4.0,1
3,1,CDA1,12,3.0,1
4,1,CDA1,1,1.0,1
4,1,CDA1,2,3.0,1
4,1,CDA1,3,7.0,1
4,1,CDA1,4,2.0,1
4,1,CDA1,5,3.0,1
4,1,CDA1,6,3.0,1
4,1,CDA1,7,10.0,1
4,1,CDA1,8,6.0,1
4,1,CDA1,9,9.0,1
4,1,CDA1,10,7.95,1
4,1,CDA1,11,8.95,1
4,1,CDA1,12,1.0,1
5,2,CDA1,1,2.0,1
5,2,CDA1,2,1.0,1
5,2,CDA1,3,2.0,1
5,2,CDA1,4,2.0,1
5,2,CDA1,5,6.0,1
5,2,CDA1,6,1.0,1
5,2,CDA1,7,1.0,1
5,2,CDA1,8,1.0,1
5,2,CDA1,9,3.0,1
5,2,CDA1,10,1.0,1
5,2,CDA1,11,6.25,1
5,2,CDA1,12,1.0,1
6,2,CDA1,1,10.0,1
6,2,CDA1,2,12.0,1
6,2,CDA1,3,1.0,1
6,2,CDA1,4,2.0,1
6,2,CDA1,5,1.0,1
6,2,CDA1,6,2.0,1
6,2,CDA1,7,1.0,1
6,2,CDA1,8,1.0,1
6,2,CDA1,9,8.0,1
6,2,CDA1,10,3.0,1
6,2,CDA1,11,4.95,1
6,2,CDA1,12,5.0,1
7,2,CDA1,1,2.0,1
7,2,CDA1,2,1.0,1
7,2,CDA1,3,6.0,1
7,2,CDA1,4,1.0,1
7,2,CDA1,5,1.0,1
7,2,CDA1,6,1.0,1
7,2,CDA1,7,3.0,1
7,2,CDA1,8,2.0,1
7,2,CDA1,9,5.0,1
7,2,CDA1,10,4.95,1
7,2,CDA1,11,4.0,1
7,2,CDA1,12,6.0,1
8,2,CDA1,1,3.0,1
8,2,CDA1,2,1.0,1
8,2,CDA1,3,1.0,1
8,2,CDA1,4,1.0,1
8,2,CDA1,5,1.0,1
8,2,CDA1,6,1.0,1
8,2,CDA1,7,1.0,1
8,2,CDA1,8,1.0,1
8,2,CDA1,9,1.0,1
8,2,CDA1,10,2.0,1
8,2,CDA1,11,2.0,1
8,2,CDA1,12,1.0,1
9,3,CDA1,1,1.0,1
9,3,CDA1,2,5.0,1
9,3,CDA1,3,2.0,1
9,3,CDA1,4,2.0,1
9,3,CDA1,5,2.0,1
9,3,CDA1,6,7.0,1
9,3,CDA1,7,5.0,1
9,3,CDA1,8,6.0,1
9,3,CDA1,9,1.0,1
9,3,CDA1,10,5.0,1
9,3,CDA1,11,2.0,1
9,3,CDA1,12,1.0,1
10,3,CDA1,1,2.0,1
10,3,CDA1,2,2.0,1
10,3,CDA1,3,6.0,1
10,3,CDA1,4,2.0,1
10,3,CDA1,5,5.0,1
10,3,CDA1,6,9.0,1
10,3,CDA1,7,6.0,1
10,3,CDA1,8,1.0,1
10,3,CDA1,9,3.0,1
10,3,CDA1,10,4.05,1
10,3,CDA1,11,6.0,1
10,3,CDA1,12,1.0,1
11,3,CDA1,1,3.0,1
11,3,CDA1,2,2.0,1
11,3,CDA1,3,2.0,1
11,3,CDA1,4,1.0,1
11,3,CDA1,5,1.0,1
11,3,CDA1,6,1.0,1
11,3,CDA1,7,5.0,1
11,3,CDA1,8,1.0,1
11,3,CDA1,9,5.0,1
11,3,CDA1,10,5.0,1
11,3,CDA1,11,5.0,1
11,3,CDA1,12,4.0,1
12,3,CDA1,1,9.0,1
12,3,CDA1,2,5.0,1
12,3,CDA1,3,5.0,1
12,3,CDA1,4,6.0,1
12,3,CDA1,5,6.0,1
12,3,CDA1,6,2.0,1
12,3,CDA1,7,5.0,1
12,3,CDA1,8,6.0,1
12,3,CDA1,9,5.0,1
12,3,CDA1,10,5.0,1
12,3,CDA1,11,5.0,1
12,3,CDA1,12,4.0,1
13,4,CDA1,1,3.0,1
13,4,CDA1,2,1.0,1
13,4,CDA1,3,6.0,1
13,4,CDA1,4,5.95,1
13,4,CDA1,5,7.0,1
13,4,CDA1,6,2.0,1
13,4,CDA1,7,1.0,1
13,4,CDA1,8,6.0,1
13,4,CDA1,9,4.0,1
13,4,CDA1,10,1.0,1
13,4,CDA1,11,5.95,1
13,4,CDA1,12,6.0,1
14,4,CDA1,1,3.0,1
14,4,CDA1,2,4.0,1
14,4,CDA1,3,2.0,1
14,4,CDA1,4,6.0,1
14,4,CDA1,5,1.5,1
14,4,CDA1,6,5.0,1
14,4,CDA1,7,3.0,1
14,4,CDA1,8,1.0,1
14,4,CDA1,9,5.0,1
14,4,CDA1,10,5.0,1
14,4,CDA1,11,5.0,1
14,4,CDA1,12,3.0,1
15,4,CDA1,1,1.0,1
15,4,CDA1,2,5.0,1
15,4,CDA1,3,2.0,1
15,4,CDA1,4,4.0,1
15,4,CDA1,5,1.0,1
15,4,CDA1,6,2.0,1
15,4,CDA1,7,1.0,1
15,4,CDA1,8,1.0,1
15,4,CDA1,9,1.5499999999999998,1
15,4,CDA1,10,6.0,1
15,4,CDA1,11,1.0,1
15,4,CDA1,12,4.0,1
16,4,CDA1,1,5.2,1
16,4,CDA1,2,4.0,1
16,4,CDA1,3,1.0,1
16,4,CDA1,4,4.0,1
16,4,CDA1,5,1.0,1
16,4,CDA1,6,1.0,1
16,4,CDA1,7,1.0,1
16,4,CDA1,8,1.0,1
16,4,CDA1,9,1.0,1
16,4,CDA1,10,1.0,1
16,4,CDA1,11,1.5499999999999998,1
16,4,CDA1,12,2.0999999999999996,1
17,5,CDA1,1,10.0,1
17,5,CDA1,2,5.0,1
17,5,CDA1,3,8.0,1
17,5,CDA1,4,2.0,1
17,5,CDA1,5,1.0,1
17,5,CDA1,6,6.0,1
17,5,CDA1,7,3.0,1
17,5,CDA1,8,5.95,1
17,5,CDA1,9,2.6500000000000004,1
17,5,CDA1,10,15.0,1
17,5,CDA1,11,4.9,1
17,5,CDA1,12,2.0,1
18,5,CDA1,1,6.0,1
18,5,CDA1,2,1.0,1
18,5,CDA1,3,3.0,1
18,5,CDA1,4,3.0,1
18,5,CDA1,5,3.0,1
18,5,CDA1,6,3.0,1
18,5,CDA1,7,2.0,1
18,5,CDA1,8,1.0,1
18,5,CDA1,9,2.0,1
18,5,CDA1,10,9.0,1
18,5,CDA1,11,9.0,1
18,5,CDA1,12,9.0,1
19,5,CDA1,1,8.0,1
19,5,CDA1,2,4.0,1
19,5,CDA1,3,4.0,1
